Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,374,0,40,85.18632948663705,26.36752099988371,1686.9916040000135,2586.0,1.2424940141633145,0.0,40,52,67,80,130,290,700,790,1700,1700,1700
GET,/api/cart/add/anonymous-10/RED/1,1,0,82.13063000039256,82.13063000039256,82.13063000039256,82.13063000039256,210.0,0.0033221765084580604,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/api/cart/add/anonymous-10/RMC/1,1,0,185.31788699965546,185.31788699965546,185.31788699965546,185.31788699965546,108.0,0.0033221765084580604,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-100/EPE/1,1,0,65.46637000019473,65.46637000019473,65.46637000019473,65.46637000019473,129.0,0.0033221765084580604,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,59.6505509997769,59.6505509997769,59.6505509997769,59.6505509997769,220.0,0.0033221765084580604,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,61.12517200017464,61.12517200017464,61.12517200017464,61.12517200017464,121.0,0.0033221765084580604,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-101/RMC/1,1,0,46.20478000015282,46.20478000015282,46.20478000015282,46.20478000015282,199.0,0.0033221765084580604,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/api/cart/add/anonymous-102/EMM/1,1,0,47.2905090000495,47.2905090000495,47.2905090000495,47.2905090000495,214.0,0.0033221765084580604,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-102/UHJ/1,1,0,67.02614699997866,67.02614699997866,67.02614699997866,67.02614699997866,138.0,0.0033221765084580604,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/cart/add/anonymous-103/RED/1,1,0,57.34112100026323,57.34112100026323,57.34112100026323,57.34112100026323,132.0,0.0033221765084580604,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/cart/add/anonymous-103/Watson/1,1,0,58.59976599958827,58.59976599958827,58.59976599958827,58.59976599958827,202.0,0.0033221765084580604,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-104/EMM/1,1,0,107.75246999992305,107.75246999992305,107.75246999992305,107.75246999992305,137.0,0.0033221765084580604,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-104/EPE/1,1,0,55.68452899979093,55.68452899979093,55.68452899979093,55.68452899979093,205.0,0.0033221765084580604,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/api/cart/add/anonymous-105/RMC/1,1,0,79.91238600016004,79.91238600016004,79.91238600016004,79.91238600016004,108.0,0.0033221765084580604,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/api/cart/add/anonymous-105/SHCE/1,1,0,67.26599400008126,67.26599400008126,67.26599400008126,67.26599400008126,202.0,0.0033221765084580604,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/cart/add/anonymous-106/RED/1,1,0,78.36012099960499,78.36012099960499,78.36012099960499,78.36012099960499,132.0,0.0033221765084580604,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/cart/add/anonymous-106/RMC/1,1,0,87.89076599987311,87.89076599987311,87.89076599987311,87.89076599987311,210.0,0.0033221765084580604,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/cart/add/anonymous-107/RED/1,1,0,69.10827399997288,69.10827399997288,69.10827399997288,69.10827399997288,196.0,0.0033221765084580604,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/api/cart/add/anonymous-107/STAN-1/1,1,0,59.197763000156556,59.197763000156556,59.197763000156556,59.197763000156556,111.0,0.0033221765084580604,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-108/EMM/1,1,0,63.963232999867614,63.963232999867614,63.963232999867614,63.963232999867614,229.0,0.0033221765084580604,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/cart/add/anonymous-108/SHCE/1,1,0,59.36154799974247,59.36154799974247,59.36154799974247,59.36154799974247,124.0,0.0033221765084580604,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-109/EMM/1,1,0,81.2705969997296,81.2705969997296,81.2705969997296,81.2705969997296,137.0,0.0033221765084580604,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/api/cart/add/anonymous-109/RMC/1,1,0,58.81144899967694,58.81144899967694,58.81144899967694,58.81144899967694,215.0,0.0033221765084580604,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-11/RED/1,1,0,61.07428899986189,61.07428899986189,61.07428899986189,61.07428899986189,210.0,0.0033221765084580604,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-11/RMC/1,1,0,78.08468999974139,78.08468999974139,78.08468999974139,78.08468999974139,108.0,0.0033221765084580604,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/cart/add/anonymous-110/EMM/1,1,0,66.39545899997756,66.39545899997756,66.39545899997756,66.39545899997756,214.0,0.0033221765084580604,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/api/cart/add/anonymous-110/UHJ/1,1,0,60.76407999989897,60.76407999989897,60.76407999989897,60.76407999989897,138.0,0.0033221765084580604,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-111/HPTD/1,1,0,40.00706699980583,40.00706699980583,40.00706699980583,40.00706699980583,121.0,0.0033221765084580604,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/api/cart/add/anonymous-111/SHCE/1,1,0,60.004024999670946,60.004024999670946,60.004024999670946,60.004024999670946,213.0,0.0033221765084580604,0.0,60,60,60,60,60,60,60,60,60,60,60
